Task counter,Task type,Task name,Task id,Task enabled,Task timeout,Task retries,App id,Partial reload,Manually triggered,Task status,Task started,Task ended,Task duration,Task executedon node,Tags,Custom properties,Event counter,Event type,Event name,Event enabled,Event created date,Event modified date,Event modified by,Schema increment option,Schema increment description,Daylight savings time,Schema start,Schema expiration,Schema filter description,Schema time zone,Time contstraint seconds,Time contstraint minutes,Time contstraint hours,Time contstraint days,Rule counter,Rule state,Rule task name,Rule task id
1,Reload,App2-A1,5e059f5e-d985-424d-8f0f-52e9d2978b06,1,60,2,853905ea-b05b-4572-8f72-95418cb024cf,,,❔ ?,,,0:00:00,,Ctrl-Q test / Ctrl-Q test 2,CtrlQ_test=Val2 / CtrlQ_test=Value 1,,,,,,,,,,,,,,,,,,,,,,
2,Reload,App2-A2,366f2b36-595f-4de9-a05a-57dc0f1a5b32,1,1440,0,e11509b6-ad42-4b37-8728-29debef64380,,1,❔ ?,,,0:00:00,,Ctrl-Q test / Ctrl-Q test 2,CtrlQ_test=Val2 / CtrlQ_test=Value 1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,1,Composite,When HR metrics done,1,2023-01-27T07:05:04.045Z,2023-01-27T07:05:04.045Z,INTERNAL\sa_api,,,,,,,,0,360,0,0,,,,
2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,TaskSuccessful,App2-A1,30f8a2e9-f0d3-482e-af58-aed6b77d3dd5
3,Reload,App2-A2,3140fef8-7480-4ab8-8a7f-b65a6b865852,1,1440,0,e11509b6-ad42-4b37-8728-29debef64380,,1,❔ ?,,,0:00:00,,Ctrl-Q test / Ctrl-Q test 2,CtrlQ_test=Val2 / CtrlQ_test=Value 1,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,1,Composite,When HR metrics done,1,2023-01-27T07:20:59.055Z,2023-01-27T07:20:59.055Z,INTERNAL\sa_api,,,,,,,,0,360,0,0,,,,
3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,TaskSuccessful,App2-A1,30f8a2e9-f0d3-482e-af58-aed6b77d3dd5
4,Reload,Manually triggered reload of Always failing reload (no delay),0d815a99-1ca3-4131-a398-6878bd735fd8,1,1440,0,deba4bcf-47e4-472e-97b2-4fe8d6498e11,,1,❌ FinishedFail,2022-09-29T19:50:25.855Z,2022-09-29T19:50:27.624Z,0:00:01,pro2-win1.lab.ptarmiganlabs.net,api2 / 👍😎 updateSheetThumbnail / Tag with spaces in it / Ctrl-Q test / Ctrl-Q test 2,Butler_FailedAlertEnableEmail=Yes / Butler_FailedAlertSendToEmail=goran.sander+cpalert1@gmail.com / Butler_FailedAlertSendToEmail=goran.sander+cpalert2@gmail.com,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,1,Schema,Every 2 min,,2022-04-01T06:56:47.968Z,2022-04-01T09:19:44.628Z,LAB\goran,once,2 0 0 0,ObserveDaylightSavingTime,2022-04-01T09:00:33.000,9999-01-01T00:00:00.000,* * - * * * * *,Europe/Paris,,,,,,,,
4,,,,,,,,,,,,,,,,,2,Schema,Weekly,,2022-10-19T08:14:43.402Z,2022-10-19T08:14:43.402Z,LAB\goran,weekly,0 0 1 0,ObserveDaylightSavingTime,2022-10-19T10:19:30.000,9999-01-01T00:00:00.000,* * - 3 1 * * *,Europe/Paris,,,,,,,,
